,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Tarakan,ID,78.49,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
593,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
598,Tahta,EG,87.8,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
599,Mamallapuram,IN,80.6,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
605,Ternate,ID,81.1,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
606,Rangoon,MM,78.8,broken clouds,16.81,96.16,"Sule Shangri-La, Yangon"
610,Djibo,BF,79.11,broken clouds,14.1,-1.63,Centre Des Ressources DPENA
613,Jamkhandi,IN,77.99,overcast clouds,16.52,75.3,Hotel Shreyas
614,Kralendijk,BQ,86.0,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
618,Mormugao,IN,80.87,light rain,15.4,73.8,Coconut Creek Resort
619,Warwick,US,77.0,broken clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
622,Nago,JP,78.8,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
625,Sawakin,SD,88.3,clear sky,19.11,37.33,فندق الدويم
626,Tulsipur,NP,80.01,few clouds,28.13,82.3,Ekanta Hotel Pvt. Ltd
635,Sabang,ID,81.84,overcast clouds,5.89,95.32,Hotel Citra
636,Bonito,BR,82.98,broken clouds,-21.12,-56.48,Marruá Hotel
639,Borba,BR,85.6,scattered clouds,-4.39,-59.59,Hotel da Amazônia
642,Bandar-E Lengeh,IR,86.56,clear sky,26.56,54.88,کافی نت پارس
645,Cobija,BO,85.6,broken clouds,-11.03,-68.77,Hotel Obelisco
646,Rincon,US,86.0,broken clouds,32.3,-81.24,Bent tree subdivision
648,Damietta,EG,78.8,clear sky,31.42,31.81,العواد لتجارة الابلكاش
653,Manicore,BR,84.24,few clouds,-5.81,-61.3,Pousada da wanda
655,Hue,VN,80.6,scattered clouds,16.47,107.6,Saigon Morin Hotel
658,Esmeraldas,BR,75.2,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
665,Porto Novo,BJ,75.27,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
670,Eureka,US,89.01,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
672,Ladario,BR,85.98,overcast clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
675,Latung,PH,83.43,few clouds,5.5,120.88,
677,Barra Do Corda,BR,81.18,clear sky,-5.5,-45.25,Belchior Palace Hotel
680,Revelstoke,CA,80.6,broken clouds,50.98,-118.2,Best Western Plus Revelstoke
681,Kassala,SD,85.55,clear sky,15.45,36.4,Amassi Hotel Gash
685,Guigue,VE,76.12,scattered clouds,10.09,-67.78,Flia Arist
689,Sangod,IN,78.62,clear sky,24.92,76.28,KUSHWAH PANCHAYAT MARRIAGE HALL
697,Afua,BR,78.03,light rain,-0.16,-50.39,Hotel Dias
703,Corpus Christi,US,88.0,broken clouds,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
706,Tuy Hoa,VN,78.82,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
708,Matara,LK,77.61,overcast clouds,5.95,80.54,Amaloh Boutique Resort
710,Wenzhou,CN,75.83,clear sky,28.0,120.67,温州喜来登酒店
712,Kewanee,US,87.01,clear sky,41.25,-89.92,AmericInn by Wyndham Kewanee
